place_id,name,is_spending_on_ads,reviews,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,main_category,categories,rating,address,link
ChIJT4KBGISbTDARq9tYdh2jIbw,Huang Cheng Cafe,FALSE,3,TRUE,,,,,,,,Restaurant,Restaurant,4.7,"Huang Cheng Cafe, Pekan Kuala Perlis, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Huang+Cheng+Cafe/data=!4m7!3m6!1s0x304c9b841881824f:0xbc21a31d7658dbab!8m2!3d6.3978857!4d100.1328876!16s%2Fg%2F11c5xvwl4_!19sChIJT4KBGISbTDARq9tYdh2jIbw?authuser=0&hl=en&rclk=1
ChIJIw0GEbuZTDARkVs8Dg0n-58,Kuala Perlis Laksa House,FALSE,3,TRUE,,,,,,,,Malay Restaurant,Malay Restaurant,3.7,"Kuala Perlis Laksa House, Taman Indra, 01000 Kangar, Perlis",https://www.google.com/maps/place/Kuala+Perlis+Laksa+House/data=!4m7!3m6!1s0x304c99bb11060d23:0x9ffb270d0e3c5b91!8m2!3d6.4455152!4d100.200233!16s%2Fg%2F1pztywwgl!19sChIJIw0GEbuZTDARkVs8Dg0n-58?authuser=0&hl=en&rclk=1
ChIJQUGIa4WbTDARHJvNtjJPpPU,Te Chang You Tiao Wang Enterprise,FALSE,3,TRUE,,,,,,,,Chinese restaurant,Chinese restaurant,3.7,"Te Chang You Tiao Wang Enterprise, 76, Jalan Sarawak, Pekan Kuala Perlis, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Te+Chang+You+Tiao+Wang+Enterprise/data=!4m7!3m6!1s0x304c9b856b884141:0xf5a44f32b6cd9b1c!8m2!3d6.4013901!4d100.1356244!16s%2Fg%2F11r8r9nly!19sChIJQUGIa4WbTDARHJvNtjJPpPU?authuser=0&hl=en&rclk=1
ChIJ5TxeN2aZTDARPJdFCBhjRxw,Mimi Kitchen Perlis,FALSE,2,TRUE,,,,,,,,Restaurant,Restaurant,5,"Mimi Kitchen Perlis, Unnamed Road, Kampung Baharu, 01000 Kangar, Perlis",https://www.google.com/maps/place/Mimi+Kitchen+Perlis/data=!4m7!3m6!1s0x304c9966375e3ce5:0x1c4763180845973c!8m2!3d6.4545276!4d100.2066426!16s%2Fg%2F11hzjgtkyz!19sChIJ5TxeN2aZTDARPJdFCBhjRxw?authuser=0&hl=en&rclk=1
ChIJSXPKhWGZTDARjlexFlnbiWk,Anas BBQ & GRILL,FALSE,1,TRUE,,,,,,,,Restaurant,Restaurant,5,"Anas BBQ & GRILL, Jalan Kaki Bukit, Taman Salang Indah, 01000 Kangar, Perlis",https://www.google.com/maps/place/Anas+BBQ+%26+GRILL/data=!4m7!3m6!1s0x304c996185ca7349:0x6989db5916b1578e!8m2!3d6.46797!4d100.21115!16s%2Fg%2F11hz3hslmf!19sChIJSXPKhWGZTDARjlexFlnbiWk?authuser=0&hl=en&rclk=1
ChIJPQ9UKpCXTDARrhqkfGYtEls,Gerai MPK Perlis,FALSE,1,TRUE,,,,,,,,Malay Restaurant,Malay Restaurant,5,"Gerai MPK Perlis, 2409, Jalan Rambutan, Taman Bunga Selasih, 02500 Kangar, Perlis",https://www.google.com/maps/place/Gerai+MPK+Perlis/data=!4m7!3m6!1s0x304c97902a540f3d:0x5b122d667ca41aae!8m2!3d6.4762834!4d100.2588159!16s%2Fg%2F11t5jg4fnd!19sChIJPQ9UKpCXTDARrhqkfGYtEls?authuser=0&hl=en&rclk=1
ChIJ571HYnmZTDAR9ioedUZeSK4,LAKSA GUA SAMI LEGEND,FALSE,1,TRUE,,,,,,,,Restaurant,Restaurant,5,"LAKSA GUA SAMI LEGEND, 262, Kampung Batu Hampar, 01000 Kangar, Perlis",https://www.google.com/maps/place/LAKSA+GUA+SAMI+LEGEND/data=!4m7!3m6!1s0x304c99796247bde7:0xae485e46751e2af6!8m2!3d6.412322!4d100.1928385!16s%2Fg%2F11tfv02kdj!19sChIJ571HYnmZTDAR9ioedUZeSK4?authuser=0&hl=en&rclk=1
ChIJ3bmYsraZTDARBNwhwt9HM9A,MAMU PULUT UDANG ORI PERLIS,FALSE,1,TRUE,,,,,,,,Asian restaurant,Asian restaurant,5,"MAMU PULUT UDANG ORI PERLIS, Kampung Alor Pulai, 01000 Kangar, Perlis",https://www.google.com/maps/place/MAMU+PULUT+UDANG+ORI+PERLIS/data=!4m7!3m6!1s0x304c99b6b298b9dd:0xd03347dfc221dc04!8m2!3d6.4195762!4d100.1839018!16s%2Fg%2F11rmn9pkj3!19sChIJ3bmYsraZTDARBNwhwt9HM9A?authuser=0&hl=en&rclk=1
ChIJkSAXxVyZTDAR5nY4wlP0g0c,D'LUNCH WARUNG MASAKAN KAMPUNG,FALSE,0,TRUE,,,,,,,,Brunch restaurant,Brunch restaurant,0,"D'LUNCH WARUNG MASAKAN KAMPUNG, Jalan seriab Kg batu hampar, 01000 Kangar, Perlis",https://www.google.com/maps/place/D%27LUNCH+WARUNG+MASAKAN+KAMPUNG/data=!4m7!3m6!1s0x304c995cc5172091:0x4783f453c23876e6!8m2!3d6.4140389!4d100.1857823!16s%2Fg%2F11vbwrvs30!19sChIJkSAXxVyZTDAR5nY4wlP0g0c?authuser=0&hl=en&rclk=1
ChIJxQddgDKZTDARvTUUKV4UMX0,Damai Corner Padang Katong,FALSE,0,TRUE,,,,,,,,Restaurant,Restaurant,0,"Damai Corner Padang Katong, R113, 01000 Kangar, Perlis",https://www.google.com/maps/place/Damai+Corner+Padang+Katong/data=!4m7!3m6!1s0x304c9932805d07c5:0x7d31145e291435bd!8m2!3d6.4440503!4d100.1865655!16s%2Fg%2F11q2y1k2tk!19sChIJxQddgDKZTDARvTUUKV4UMX0?authuser=0&hl=en&rclk=1
ChIJpxMO1gabTDARQRtfmEfTOOM,Ng Ben Kee Mee Stall,FALSE,0,TRUE,,,,,,,,Chinese restaurant,Chinese restaurant,0,"Ng Ben Kee Mee Stall, 30, Jalan Besar, Pekan Kuala Perlis, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/Ng+Ben+Kee+Mee+Stall/data=!4m7!3m6!1s0x304c9b06d60e13a7:0xe338d347985f1b41!8m2!3d6.3996054!4d100.1327089!16s%2Fg%2F11rz4ymjkp!19sChIJpxMO1gabTDARQRtfmEfTOOM?authuser=0&hl=en&rclk=1
ChIJazAGEbuZTDARQE3aA3k2rik,Soo Guan Restaurant,FALSE,0,TRUE,,,,,,,,Restaurant,Restaurant,0,"Soo Guan Restaurant, Jalan Besar Kangar, 01000, Kangar, Perlis, 01000",https://www.google.com/maps/place/Soo+Guan+Restaurant/data=!4m7!3m6!1s0x304c99bb1106306b:0x29ae367903da4d40!8m2!3d6.445521!4d100.200229!16s%2Fg%2F1ptxgxpvl!19sChIJazAGEbuZTDARQE3aA3k2rik?authuser=0&hl=en&rclk=1
ChIJC3rFOIabTDARmwFqP6X7FRc,Shao Yu Dian ,FALSE,0,TRUE,,,,,,,,Restaurant,Restaurant,0,"Shao Yu Dian , 12, Jalan Sarawak, Taman Sentosa, 02000 Kuala Perlis, Perlis",https://www.google.com/maps/place/%E7%83%A7%E9%B1%BC%E5%BA%97/data=!4m7!3m6!1s0x304c9b8638c57a0b:0x1715fba53f6a019b!8m2!3d6.4005107!4d100.1338366!16s%2Fg%2F11fm1x_fyc!19sChIJC3rFOIabTDARmwFqP6X7FRc?authuser=0&hl=en&rclk=1
